,activity_id,zone_type,zone_index,time
560,2339321059,pace,5,51
561,2339321059,pace,6,0
225,2346118247,heartrate,1,97
226,2346118247,heartrate,2,404
227,2346118247,heartrate,3,1933
228,2346118247,heartrate,4,725
229,2346118247,heartrate,5,0
567,2346118247,pace,1,19
568,2346118247,pace,2,1438
569,2346118247,pace,3,1103
570,2346118247,pace,4,74
571,2346118247,pace,5,64
572,2346118247,pace,6,8
230,2352290179,heartrate,1,47
231,2352290179,heartrate,2,5
232,2352290179,heartrate,3,6
233,2352290179,heartrate,4,5
234,2352290179,heartrate,5,2660
573,2352290179,pace,1,2414
574,2352290179,pace,2,287
575,2352290179,pace,3,0
576,2352290179,pace,4,0
577,2352290179,pace,5,0
578,2352290179,pace,6,0
235,2355889365,heartrate,1,94
236,2355889365,heartrate,2,149
237,2355889365,heartrate,3,871
238,2355889365,heartrate,4,1586
239,2355889365,heartrate,5,0
584,2355889365,pace,1,24
585,2355889365,pace,2,1424
586,2355889365,pace,3,1126
587,2355889365,pace,4,86
588,2355889365,pace,5,20
589,2355889365,pace,6,21
240,2404936403,heartrate,1,32
241,2404936403,heartrate,2,864
242,2404936403,heartrate,3,1325
243,2404936403,heartrate,4,187
244,2404936403,heartrate,5,0
595,2404936403,pace,1,911
596,2404936403,pace,2,1233
597,2404936403,pace,3,197
598,2404936403,pace,4,63
599,2404936403,pace,5,7
600,2404936403,pace,6,0
245,2410135380,heartrate,1,66
246,2410135380,heartrate,2,129
247,2410135380,heartrate,3,390
248,2410135380,heartrate,4,616
249,2410135380,heartrate,5,310
606,2410135380,pace,1,386
607,2410135380,pace,2,95
608,2410135380,pace,3,165
609,2410135380,pace,4,259
610,2410135380,pace,5,307
611,2410135380,pace,6,300
250,2412534300,heartrate,1,56
251,2412534300,heartrate,2,85
252,2412534300,heartrate,3,1200
253,2412534300,heartrate,4,1427
254,2412534300,heartrate,5,0
617,2412534300,pace,1,89
618,2412534300,pace,2,1793
619,2412534300,pace,3,822
620,2412534300,pace,4,50
621,2412534300,pace,5,10
622,2412534300,pace,6,0
255,2417394320,heartrate,1,40
256,2417394320,heartrate,2,33
257,2417394320,heartrate,3,141
258,2417394320,heartrate,4,719
259,2417394320,heartrate,5,1783
628,2417394320,pace,1,56
629,2417394320,pace,2,1552
630,2417394320,pace,3,1016
631,2417394320,pace,4,79
632,2417394320,pace,5,17
633,2417394320,pace,6,0
260,2423668488,heartrate,1,23
261,2423668488,heartrate,2,23
262,2423668488,heartrate,3,204
263,2423668488,heartrate,4,1128
264,2423668488,heartrate,5,316
639,2423668488,pace,1,396
640,2423668488,pace,2,187
641,2423668488,pace,3,167
642,2423668488,pace,4,194
643,2423668488,pace,5,233
644,2423668488,pace,6,521
265,2426588529,heartrate,1,124
266,2426588529,heartrate,2,1314
267,2426588529,heartrate,3,1897
268,2426588529,heartrate,4,107
269,2426588529,heartrate,5,0
650,2426588529,pace,1,292
651,2426588529,pace,2,2671
652,2426588529,pace,3,430
653,2426588529,pace,4,45
654,2426588529,pace,5,7
655,2426588529,pace,6,0
270,2429188828,heartrate,1,24
271,2429188828,heartrate,2,32
272,2429188828,heartrate,3,354
273,2429188828,heartrate,4,1315
274,2429188828,heartrate,5,56
661,2429188828,pace,1,422
662,2429188828,pace,2,141
663,2429188828,pace,3,82
664,2429188828,pace,4,460
665,2429188828,pace,5,538
666,2429188828,pace,6,142
275,2435850487,heartrate,1,91
276,2435850487,heartrate,2,652
277,2435850487,heartrate,3,2131
278,2435850487,heartrate,4,1048
279,2435850487,heartrate,5,2
672,2435850487,pace,1,413
673,2435850487,pace,2,2298
674,2435850487,pace,3,983
675,2435850487,pace,4,171
676,2435850487,pace,5,42
677,2435850487,pace,6,21
280,2439928705,heartrate,1,132
281,2439928705,heartrate,2,1290
282,2439928705,heartrate,3,866
283,2439928705,heartrate,4,38
284,2439928705,heartrate,5,0
683,2439928705,pace,1,354
684,2439928705,pace,2,1705
685,2439928705,pace,3,173
686,2439928705,pace,4,45
687,2439928705,pace,5,43
688,2439928705,pace,6,6
285,2447734267,heartrate,1,20
286,2447734267,heartrate,2,11
287,2447734267,heartrate,3,403
288,2447734267,heartrate,4,948
289,2447734267,heartrate,5,1083
694,2447734267,pace,1,0
695,2447734267,pace,2,25
696,2447734267,pace,3,1305
697,2447734267,pace,4,824
698,2447734267,pace,5,188
699,2447734267,pace,6,63
290,2455658821,heartrate,1,58
291,2455658821,heartrate,2,137
292,2455658821,heartrate,3,1146
293,2455658821,heartrate,4,1405
294,2455658821,heartrate,5,0
705,2455658821,pace,1,79
706,2455658821,pace,2,1670
707,2455658821,pace,3,942
708,2455658821,pace,4,35
709,2455658821,pace,5,19
710,2455658821,pace,6,2
295,2458386146,heartrate,1,54
296,2458386146,heartrate,2,301
297,2458386146,heartrate,3,1970
298,2458386146,heartrate,4,430
299,2458386146,heartrate,5,0
716,2458386146,pace,1,129
717,2458386146,pace,2,1897
718,2458386146,pace,3,544
719,2458386146,pace,4,97
720,2458386146,pace,5,79
721,2458386146,pace,6,12
300,2466656675,heartrate,1,19
301,2466656675,heartrate,2,11
302,2466656675,heartrate,3,45
303,2466656675,heartrate,4,1510
304,2466656675,heartrate,5,774
727,2466656675,pace,1,27
728,2466656675,pace,2,248
729,2466656675,pace,3,879
730,2466656675,pace,4,641
731,2466656675,pace,5,316
732,2466656675,pace,6,223
305,2474148341,heartrate,1,44
306,2474148341,heartrate,2,176
307,2474148341,heartrate,3,1038
308,2474148341,heartrate,4,1335
309,2474148341,heartrate,5,0
738,2474148341,pace,1,411
739,2474148341,pace,2,1828
740,2474148341,pace,3,315
741,2474148341,pace,4,42
742,2474148341,pace,5,0
743,2474148341,pace,6,0
310,2477476969,heartrate,1,59
311,2477476969,heartrate,2,172
312,2477476969,heartrate,3,996
313,2477476969,heartrate,4,79
314,2477476969,heartrate,5,0
749,2477476969,pace,1,21
750,2477476969,pace,2,412
751,2477476969,pace,3,790
752,2477476969,pace,4,71
753,2477476969,pace,5,14
754,2477476969,pace,6,1
315,2480188898,heartrate,1,32
316,2480188898,heartrate,2,65
317,2480188898,heartrate,3,534
318,2480188898,heartrate,4,1067
319,2480188898,heartrate,5,90
760,2480188898,pace,1,443
761,2480188898,pace,2,136
762,2480188898,pace,3,189
763,2480188898,pace,4,314
764,2480188898,pace,5,525
765,2480188898,pace,6,179
320,2484914850,heartrate,1,55
321,2484914850,heartrate,2,85
322,2484914850,heartrate,3,282
323,2484914850,heartrate,4,3233
324,2484914850,heartrate,5,301
771,2484914850,pace,1,422
772,2484914850,pace,2,2414
773,2484914850,pace,3,944
774,2484914850,pace,4,115
775,2484914850,pace,5,43
776,2484914850,pace,6,8
325,2488990956,heartrate,1,18
326,2488990956,heartrate,2,6
327,2488990956,heartrate,3,74
328,2488990956,heartrate,4,247
329,2488990956,heartrate,5,759
782,2488990956,pace,1,0
783,2488990956,pace,2,0
784,2488990956,pace,3,12
785,2488990956,pace,4,785
786,2488990956,pace,5,288
787,2488990956,pace,6,23
