activity_id,split_index,distance,time,elevation_gain,average_speed,max_speed,average_hr,max_hr,average_cadence
2069646811,12,0.21769,90,8.0,8.712,14.4,157.1,171.0,80.0
2069646811,13,0.80467,185,22.0,15.659999999999998,19.08,167.5,175.0,90.7
2069646811,14,0.21325,90,0.0,8.532,13.68,157.2,172.0,80.4
2069646811,15,0.80467,175,19.0,16.56,19.08,169.9,175.0,92.0
2072553836,1,1.0,204,13.0,17.64,22.32,159.5,172.0,93.5
2072553836,2,1.0,216,12.0,16.668,20.52,174.4,178.0,90.5
2072553836,3,1.0,225,6.0,15.984000000000002,16.92,178.1,180.0,87.8
2072553836,4,1.0,229,12.0,15.732000000000001,18.0,180.8,185.0,86.0
2072553836,5,0.93422,203,5.0,16.56,18.0,184.8,187.0,87.0
2075332277,1,1.0,224,15.0,16.056,17.64,151.8,167.0,91.8
2075332277,2,1.0,238,31.0,15.120000000000001,17.28,175.1,183.0,87.6
2075332277,3,1.0,244,54.0,14.76,19.08,179.2,193.0,86.7
2075332277,4,1.0,246,44.0,14.652000000000001,18.36,180.9,185.0,85.6
2075332277,5,1.0,233,46.0,15.444,19.08,178.8,186.0,86.1
2075332277,6,1.0,243,40.0,14.832,18.720000000000002,180.4,185.0,85.5
2075332277,7,1.0,252,25.0,14.292000000000002,17.64,180.9,185.0,85.3
2075332277,8,1.0,239,41.0,15.048,18.720000000000002,181.2,187.0,85.7
2075332277,9,1.0,225,25.0,15.984000000000002,21.240000000000002,180.4,183.0,86.6
2075332277,10,0.63351,215,26.0,10.620000000000001,17.64,182.3,189.0,83.1
2081062871,1,0.65,147,22.0,15.912,19.08,129.9,145.0,91.7
2081062871,2,0.14345,60,0.0,8.604000000000001,18.36,146.1,151.0,80.5
2081062871,3,0.65,144,23.0,16.236,19.44,148.9,160.0,91.0
2081062871,4,0.15087,60,4.0,9.036,17.64,150.6,154.0,80.1
2081062871,5,0.65,144,15.0,16.236,20.16,154.0,180.0,90.4
2081062871,6,0.16307,60,13.0,9.792000000000002,19.08,164.9,172.0,79.9
2081062871,7,0.65,146,14.0,16.02,19.44,170.1,182.0,89.7
2081062871,8,0.16038,60,16.0,9.612,18.720000000000002,168.3,173.0,81.0
2081062871,9,0.65,148,15.0,15.803999999999998,19.08,170.3,182.0,89.9
2081062871,10,0.15117,60,7.0,9.072000000000001,18.36,167.0,174.0,80.6
2081062871,11,0.65,149,21.0,15.696000000000002,20.88,168.9,176.0,90.1
2081062871,12,0.15153999999999998,60,11.0,9.107999999999999,18.36,171.0,179.0,80.7
2081062871,13,0.65,150,17.0,15.588000000000001,20.52,171.7,179.0,90.0
2081062871,14,0.14866,60,13.0,8.928,18.36,165.3,175.0,79.7
2081062871,15,0.65,150,16.0,15.588000000000001,19.8,171.5,182.0,89.7
2081062871,16,0.14625,60,13.0,8.784,19.08,166.8,177.0,80.4
2081062871,17,0.65,147,18.0,15.912,19.8,172.3,181.0,91.0
2081062871,18,0.142,60,4.0,8.532,18.0,166.6,178.0,79.5
2081062871,19,0.65,145,18.0,16.128000000000004,21.6,173.3,185.0,90.9
2081062871,20,0.01651,4,0.0,14.868,19.08,177.0,177.0,93.0
2083529066,1,1.0,281,18.0,12.816,16.56,145.5,158.0,89.1
2083529066,2,1.0,265,28.0,13.572000000000001,15.840000000000002,163.4,178.0,87.8
2083529066,3,1.0,264,9.0,13.644,16.92,157.3,162.0,87.2
2083529066,4,1.0,263,21.0,13.68,16.56,154.0,158.0,86.5
2083529066,5,1.0,278,18.0,12.96,16.56,152.4,156.0,85.7
2083529066,6,1.0,288,43.0,12.492,14.4,152.3,156.0,86.2
2083529066,7,1.0,290,36.0,12.420000000000002,14.4,150.0,156.0,85.6
2083529066,8,1.0,294,47.0,12.24,14.76,151.9,158.0,86.3
2083529066,9,1.0,277,16.0,12.996,15.120000000000001,146.2,158.0,86.2
2083529066,10,1.0,290,8.0,12.420000000000002,14.76,138.9,148.0,85.7
2083529066,11,1.0,299,26.0,12.024,13.32,141.0,146.0,85.5
2083529066,12,1.0,292,32.0,12.312,14.4,142.8,152.0,85.9
2083529066,13,1.0,289,24.0,12.456,16.2,141.6,145.0,85.6
2085495854,1,0.8,181,20.0,15.912,20.88,142.2,157.0,93.7
2085495854,2,0.23311,90,29.0,9.324,14.04,148.0,157.0,83.5
2085495854,3,0.8,177,20.0,16.272,18.720000000000002,157.8,168.0,92.7
2085495854,4,0.24712,90,21.0,9.9,15.120000000000001,158.7,163.0,82.0
2085495854,5,0.8,177,27.0,16.272,19.08,162.2,169.0,92.8
2085495854,6,0.23122,90,7.0,9.251999999999999,13.32,163.2,166.0,81.4
2085495854,7,0.8,177,26.0,16.272,20.52,163.2,168.0,92.5
2085495854,8,0.23840999999999998,90,19.0,9.54,15.48,162.9,165.0,81.7
2085495854,9,0.8,181,21.0,15.912,19.08,159.1,166.0,92.3
2085495854,10,0.21799000000000002,90,12.0,8.712,12.96,157.1,162.0,81.4
