activity_id,split_average_cadence,split_average_hr,split_average_speed,split_distance,split_elevation_gain,split_index,split_max_hr,split_max_speed,split_time
3040924780,86.9,188.4,4.94,943.6,2,5,195,6,191
3037443047,82.3,128.5,3.48,1000,32,1,146,4.1,287
3037443047,82.8,148.2,3.55,1000,55,2,166,4.2,282
3037443047,82.6,151.2,3.64,1000,37,3,169,4.3,275
3037443047,81.5,138.5,3.72,1000,14,4,151,4.2,269
3037443047,82.8,145.1,3.89,1000,29,5,151,5.1,257
3037443047,82.9,149.3,3.93,164.96,25,6,152,5.2,42
3031654196,86.5,141.8,4.52,800,8,1,165,5.6,177
3031654196,79.3,153,2.85,256.81,10,2,158,4.5,90
3031654196,86.4,163.1,4.68,800,17,3,180,6.4,171
3031654196,80.1,162.4,3.21,288.92,11,4,175,5.7,90
3031654196,86.2,168.6,4.68,800,25,5,177,6.2,171
3031654196,80.4,163.3,3.08,276.81,6,6,174,4.9,90
3031654196,86.2,169.1,4.57,800,23,7,176,6.6,175
3031654196,81.1,165.3,3.23,290.36,13,8,174,4.9,90
3031654196,87,173.1,4.65,800,23,9,180,6.4,172
3031654196,81.5,173.1,3.32,298.83,13,10,180,5.3,90
3031654196,86.9,174.8,4.65,800,26,11,180,6.1,172
3031654196,80.9,167.3,3.16,284.75,14,12,181,5,90
3031654196,87.4,173.7,4.71,800,29,13,178,6.9,170
3031654196,81.4,169.4,3.32,299.19,13,14,177,5.1,90
3031654196,88.1,171.6,4.91,800,32,15,180,6.6,163
3031654196,90,143,10.2,20.39,0,16,147,5.8,2
3028890085,81.5,132.2,3.55,1000,27,1,143,4.6,282
3028890085,81.8,142.3,3.64,1000,30,2,152,4.5,275
3028890085,82.2,144.3,3.62,1000,29,3,153,4.1,276
3028890085,82.1,145,3.68,1000,51,4,151,4.5,272
3028890085,82.7,145.7,3.83,1000,38,5,158,4.5,261
3028890085,83.6,147.7,3.77,1000,34,6,151,4.5,265
3028890085,82.9,146.6,3.73,1000,44,7,152,4.5,268
3028890085,82.5,142.1,3.64,1000,15,8,152,4.1,275
3028890085,83.5,143.7,3.88,1000,33,9,151,4.7,258
3028890085,84.5,143,3.78,363.11,13,10,146,5.2,96
3020908369,87.9,159.9,4.63,1000,18,1,175,6.1,216
3020908369,87,164.5,4.69,1000,16,2,168,6,213
3020908369,85.9,171.1,4.52,1000,6,3,189,5.8,221
3020908369,85,186.5,4.63,1000,9,4,192,6.3,216
3020908369,86.4,191.9,5,944.49,0,5,196,7.5,189
3017615097,84.3,139.8,4.29,600,14,1,153,5.7,140
3017615097,79.4,145.9,3.06,229.4,6,2,150,5,75
3017615097,85,146,4.44,600,24,3,149,5.9,135
3017615097,80.1,151.1,3.14,235.81,5,4,153,5,75
3017615097,85.1,148.4,4.44,600,18,5,154,6.2,135
3017615097,81.1,144.9,3.36,251.96,2,6,149,5.2,75
3017615097,84.9,147,4.48,600,19,7,151,6.1,134
3017615097,81.3,150.2,3.25,243.39,6,8,153,4.8,75
3017615097,84.9,151.8,4.38,600,17,9,156,5.9,137
3017615097,81.4,169.5,3.39,254.22,3,10,177,5,75
3017615097,85.2,163.4,4.32,600,17,11,172,5.7,139
